epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,448.773,1.71307,2.52398,1.54807,0.60814,0.11359,0.061,0.02545,1.83343,3.43828,1.92834,0.000551887,0.000551887,0.000551887
2,882.162,1.68776,1.98212,1.51643,0.77035,0.23091,0.23699,0.11056,1.7956,2.38056,1.66665,0.00108562,0.00108562,0.00108562
3,1361.6,1.72865,1.89935,1.5387,0.82711,0.24135,0.27561,0.12419,1.90832,2.20861,1.69443,0.00159736,0.00159736,0.00159736
4,1854.59,1.69251,1.82895,1.52952,0.8149,0.29306,0.29606,0.14802,1.66589,2.12281,1.64426,0.00156798,0.00156798,0.00156798
5,2319.03,1.66677,1.70525,1.49743,0.81327,0.28586,0.28394,0.13215,1.71946,1.89907,1.61468,0.00153497,0.00153497,0.00153497
6,2779.11,1.64175,1.69061,1.49542,0.86327,0.31937,0.35028,0.17962,1.66261,1.7162,1.57322,0.00150197,0.00150197,0.00150197
7,3234.91,1.59748,1.61856,1.4612,0.85901,0.31378,0.33745,0.17608,1.64412,1.74096,1.54866,0.00146896,0.00146896,0.00146896
8,3764.04,1.56059,1.56186,1.43428,0.86229,0.32961,0.35516,0.18953,1.60716,1.63528,1.53566,0.00143595,0.00143595,0.00143595
