epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.2959,1.71553,2.53958,1.54758,0.78959,0.23743,0.25332,0.11476,1.74148,2.25587,1.63078,0.000551887,0.000551887,0.000551887
2,68.1666,1.68645,1.98393,1.52665,0.74912,0.25419,0.23287,0.10017,1.77732,2.28997,1.6815,0.00108562,0.00108562,0.00108562
3,96.8057,1.70224,1.86597,1.54038,0.81808,0.25512,0.26327,0.12,1.8386,2.35073,1.68826,0.00159736,0.00159736,0.00159736
4,125.437,1.68016,1.76361,1.53177,0.81406,0.26164,0.29172,0.14143,1.7769,1.81725,1.71246,0.00156798,0.00156798,0.00156798
5,154.231,1.6252,1.67631,1.51401,0.86394,0.30386,0.35136,0.17584,1.65832,1.75156,1.60802,0.00153497,0.00153497,0.00153497
6,182.97,1.58925,1.62653,1.47638,0.85848,0.31378,0.34797,0.18086,1.68429,1.62699,1.61309,0.00150197,0.00150197,0.00150197
7,212.337,1.58728,1.59757,1.47705,0.84565,0.31378,0.32308,0.16454,1.60545,1.86654,1.61045,0.00146896,0.00146896,0.00146896
